Ordering Method,Preprocessing Time (s),Preprocessing Memory (MB),Query Time (s),Path Length,Query Memory (MB)
Online Edge Difference,828.185572385788,24.454282760620117,0.0036902427673339844,76.88299792977278,15.367822647094727
Offline Edge Difference,0.26936817169189453,16.873624801635742,0.0032002925872802734,76.88299792977278,16.25147819519043
Online Shortcuts Added,845.1340806484222,24.583072662353516,0.0019378662109375,76.88299792977277,10.571789741516113
Offline Shortcuts Added,0.21498513221740723,12.330716133117676,0.0037360191345214844,76.88299792977278,11.7551851272583
Online Edges Removed,811.7632777690887,24.61299705505371,0.0017631053924560547,76.88299792977277,10.040445327758789
Offline Edges Removed,0.1993105411529541,11.524765014648438,0.0018317699432373047,76.88299792977278,10.936981201171875
